mu_g,mu_r,mu_b,sd_g,sd_r,sd_b
0.8783738,0.6500268,0.7651436,0.1138252,0.19915983,0.12992564
0.85179394,0.5811518,0.7335295,0.14822005,0.2567587,0.16360088
0.83246195,0.5045871,0.66039187,0.15920743,0.31763613,0.21577197
0.8193761,0.51248825,0.667597,0.17723499,0.3115844,0.20911439
0.8727745,0.5497042,0.71643466,0.13599706,0.26607674,0.17011423
0.937904,0.8694904,0.89104205,0.078325704,0.10430609,0.06938776
0.8352488,0.47334594,0.66908973,0.14084056,0.2701562,0.17141859
0.9595007,0.8715199,0.8686222,0.04617291,0.13358282,0.110161185
0.86251646,0.7939091,0.83322394,0.14746313,0.15086289,0.10116715
0.8267651,0.5157449,0.67000514,0.16504043,0.303137,0.20241065
0.9135565,0.85751456,0.8763965,0.081125796,0.09250305,0.06597344
0.8334217,0.59828013,0.7400352,0.1635659,0.27871424,0.18109117
0.77121186,0.52887183,0.7157505,0.21733126,0.31176364,0.18891352
0.71818674,0.430075,0.58938426,0.20709679,0.31220353,0.22985962
0.904017,0.66638005,0.7845426,0.11426265,0.22825524,0.14503287
0.95050997,0.8583277,0.85414106,0.054817367,0.1357008,0.109903835
0.9115923,0.8185165,0.85153145,0.10406207,0.1307938,0.08680864
0.9179923,0.7802335,0.8270615,0.106042296,0.15977553,0.11395538
0.8816846,0.6502891,0.7772379,0.12348252,0.2443542,0.15415457
0.9246337,0.7027241,0.8169096,0.109270655,0.21679358,0.14064942
0.7627467,0.5400999,0.70972574,0.18914127,0.25363925,0.15525892
0.87030584,0.685526,0.82046646,0.16572398,0.20684642,0.110628724
0.8911965,0.8294929,0.8535527,0.12586004,0.13130865,0.089194015
0.9261921,0.8712826,0.89038295,0.07541263,0.08835279,0.062069226
0.8231144,0.55992734,0.6849462,0.16254058,0.31552833,0.23276475
0.936979,0.8661394,0.89388907,0.078290746,0.10246019,0.066865996
0.88162476,0.5728167,0.72472787,0.14153655,0.2382707,0.14876494
0.8981329,0.8065193,0.8388693,0.11319911,0.148647,0.10531819
0.8395462,0.69845545,0.7890723,0.16839346,0.2516977,0.16358046
0.9319083,0.83248395,0.8629201,0.07162046,0.10483743,0.074809894
0.8839559,0.64183766,0.7632696,0.13412812,0.23669909,0.15867558
0.9350824,0.8786349,0.8926972,0.0681341,0.088777475,0.06396733
0.8526545,0.52803874,0.7079169,0.13566083,0.27094722,0.16923837
0.872633,0.62581694,0.7405859,0.1306408,0.24486792,0.16566563
0.95681924,0.74067134,0.816632,0.064293675,0.17614198,0.11904423
0.8433218,0.5948763,0.7691469,0.1915155,0.2673353,0.15270521
0.8829443,0.78403395,0.8579552,0.14124134,0.18878488,0.11418329
0.8056418,0.5016401,0.6987471,0.1621948,0.267929,0.16497496
0.9266886,0.7194114,0.78753227,0.09474258,0.20540403,0.13637643
0.92190707,0.8287962,0.88155526,0.10727788,0.15592824,0.098257825
0.8473944,0.7221162,0.8485434,0.13918512,0.15769306,0.08025326
0.91540146,0.6920013,0.7982527,0.08833921,0.21935225,0.13724843
