rid,score,incl_of_fold0
lbIDcP,-1.0,"['019_ABC', '212_ABC', '172_ABC', '028_EF']"
KzE1kZ,0.0,"['026_DEF', '107_L']"
ciFcia,-1.0,"['109_ABC', '146_DEF', '038_DE']"
LrfY8O,-1.0,"['203_ABC', '117_KL', '016_GH']"
6xU9ON,-1.0,"['108_CD', '054_GH', '144_EF']"
oUC4IG,0.0,"['038_DE', '140_DEF']"
PLvqjq,-1.0,"['117_KL', '143_F', '111_EF']"
uSMru0,-1.0,"['183_DEF', '118_DEF', '172_KL', '054_GH']"
P6Qfen,-1.0,"['160_A', '108_CD', '201_KL', '181_AB']"
sKxKwF,-1.0,"['169_DEF', '171_M', '140_DEF', '181_G']"
1AQYfl,0.0,"['181_G', '140_DEF', '203_ABC']"
xLliJC,0.0,"['104_AB', '125_DEF', '203_ABC']"
QdqR7m,0.0,"['104_AB', '135_ABC', '118_ABC']"
p6JACr,-1.0,"['077_DEF', '055_ABC', '146_DEF']"
AMks9l,0.0,"['001_ABC', '189_EF']"
KlXeV6,-1.0,"['160_A', '074_DEF']"
SA1GEN,-1.0,"['020_AB', '107_ABC', '102_AB', '074_DEF']"
2HQUY7,-1.0,"['107_L', '197_ABC', '016_KL', '107_ABC']"
iZzNcP,0.0,"['120_GH', '062_ABC', '117_KL', '091_AB']"
GBhmz2,0.0,['007_DEF']
z5N7So,-1.0,"['120_GH', '036_AB', '162_DEF']"
6JEmGV,0.0,"['213_LMN', '038_DE', '078_CD']"
srV1OA,-1.0,"['030_GH', '062_ABC', '193_ABCD']"
hAWIuR,0.0,"['091_AB', '055_ABC']"
eO1psf,-1.0,"['193_ABCD', '160_A', '062_ABC']"
mcqmcm,-1.0,"['171_M', '132_DEF', '123_EF']"
zisExg,-1.0,"['041_ABC', '143_F', '019_ABC', '164_DEF']"
sy3NAy,-1.0,"['016_DEF', '140_DEF', '141_EF']"
smTkII,0.0,"['141_EF', '091_AB', '080_ABC', '172_ABC']"
5nqg1y,-1.0,"['080_ABC', '014_CD', '160_A', '176_GHK']"
ao8PaH,-1.0,"['036_AB', '109_ABC', '151_CD']"
i7lTfa,0.0,"['160_C', '119_L', '123_EF']"
sGIBgh,0.0,"['042_DE', '118_DEF', '036_AB']"
wdltLt,0.0,"['004_GHK', '193_ABCD', '083_DEF', '162_DEF']"
